revision_id,category
2941,Candidates for speedy deletion
15564,Candidates for speedy deletion
15961,Candidates for speedy deletion
17945,Candidates for speedy deletion
20287,Candidates for speedy deletion
2942,Wikipedia
5917,Wikipedia
5959,Wikipedia
5990,Wikipedia
6043,Wikipedia
6048,Wikipedia
6109,Wikipedia
6116,Wikipedia
6163,Wikipedia
6174,Wikipedia
6331,Wikipedia
6386,Wikipedia
6455,Wikipedia
6518,Wikipedia
6527,Wikipedia
6544,Wikipedia
6561,Wikipedia
6582,Wikipedia
6654,Wikipedia
6657,Wikipedia
6787,Wikipedia
6842,Wikipedia
6844,Wikipedia
6857,Wikipedia
6862,Wikipedia
6922,Wikipedia
6933,Wikipedia
6939,Wikipedia
6959,Wikipedia
6978,Wikipedia
6993,Wikipedia
7030,Wikipedia
7043,Wikipedia
7112,Wikipedia
7113,Wikipedia
7143,Wikipedia
7178,Wikipedia
7182,Wikipedia
7188,Wikipedia
7189,Wikipedia
7198,Wikipedia
7217,Wikipedia
7220,Wikipedia
7222,Wikipedia
7223,Wikipedia
7226,Wikipedia
7262,Wikipedia
7263,Wikipedia
7264,Wikipedia
7317,Wikipedia
7691,Wikipedia
7802,Wikipedia
7804,Wikipedia
7806,Wikipedia
7807,Wikipedia
7809,Wikipedia
7834,Wikipedia
8028,Wikipedia
8029,Wikipedia
8041,Wikipedia
8173,Wikipedia
8181,Wikipedia
8183,Wikipedia
8185,Wikipedia
8242,Wikipedia
8362,Wikipedia
8616,Wikipedia
8617,Wikipedia
8880,Wikipedia
8881,Wikipedia
8893,Wikipedia
8895,Wikipedia
9034,Wikipedia
9077,Wikipedia
9104,Wikipedia
9120,Wikipedia
9212,Wikipedia
9844,Wikipedia
9903,Wikipedia
10471,Wikipedia
11638,Wikipedia
11662,Wikipedia
11679,Wikipedia
12166,Wikipedia
13056,Wikipedia
13061,Wikipedia
13150,Wikipedia
13369,Wikipedia
13445,Wikipedia
13668,Wikipedia
13669,Wikipedia
13670,Wikipedia
13815,Wikipedia
14000,Wikipedia
14067,Wikipedia
14259,Wikipedia
14260,Wikipedia
15355,Wikipedia
15590,Wikipedia
15594,Wikipedia
16050,Wikipedia
16065,Wikipedia
31253,Wikipedia
3456,Stub
3498,Stub
3581,Stub
3672,Stub
3685,Stub
3692,Stub
3693,Stub
3695,Stub
3709,Stub
3839,Stub
3840,Stub
3872,Stub
4153,Stub
4161,Stub
4168,Stub
4265,Stub
4436,Stub
4442,Stub
4444,Stub
4463,Stub
4486,Stub
4495,Stub
4556,Stub
4635,Stub
4645,Stub
4657,Stub
4665,Stub
4667,Stub
4751,Stub
4820,Stub
4909,Stub
4953,Stub
4954,Stub
5200,Stub
5232,Stub
5233,Stub
5234,Stub
5235,Stub
5236,Stub
5237,Stub
5238,Stub
5239,Stub
5262,Stub
5367,Stub
5492,Stub
5547,Stub
5582,Stub
5680,Stub
5704,Stub
5726,Stub
5738,Stub
5778,Stub
5824,Stub
5835,Stub
5944,Stub
6089,Stub
6105,Stub
6206,Stub
6254,Stub
6314,Stub
6343,Stub
6376,Stub
6435,Stub
6441,Stub
6478,Stub
6523,Stub
6545,Stub
6646,Stub
6765,Stub
6774,Stub
6779,Stub
6818,Stub
6925,Stub
7379,Stub
7384,Stub
7394,Stub
7440,Stub
7486,Stub
7608,Stub
7762,Stub
7896,Stub
8064,Stub
8101,Stub
8851,Stub
9072,Stub
9073,Stub
9184,Stub
10598,Stub
10895,Stub
10935,Stub
10991,Stub
11109,Stub
11136,Stub
11338,Stub
11401,Stub
11646,Stub
11832,Stub
11839,Stub
12443,Stub
12692,Stub
12710,Stub
12739,Stub
12942,Stub
13044,Stub
13059,Stub
13237,Stub
13390,Stub
13429,Stub
13759,Stub
13823,Stub
13837,Stub
13869,Stub
13889,Stub
14097,Stub
14528,Stub
14760,Stub
15165,Stub
15596,Stub
16018,Stub
24159,Stub
24172,Stub
53914,Stub
53918,Stub
3451,Stub
4163,Stub
4462,Stub
4473,Stub
4479,Stub
4487,Stub
4490,Stub
4491,Stub
4555,Stub
4585,Stub
4589,Stub
4590,Stub
4593,Stub
4595,Stub
4615,Stub
4617,Stub
4618,Stub
4619,Stub
4769,Stub
