page_id,title,country_of_origin
3683,Akafuba,Uganda
3733,ENKOKO:EBIKA,Uganda
3736,User:Kiriggwajjo Anatole Jesero,Uganda
3990,Embwa,Uganda
4117,User talk:Tonny Ineza,Uganda
5491,Geoffrey Oryema,Uganda
6161,Muntunsolo ya byanfuna(homo economicus),Uganda
6188,Okufuga embeera z'Obuntu(Controling human emotions),Uganda
6751,User:Semakulaa,Uganda
7325,Yoweri Museveni,Uganda
7469,Barbara Kaija,Uganda
7470,Amelia Kyambadde,Uganda
7472,Betty Nambooze,Uganda
7473,Winnie Kiiza,Uganda
7474,Judith Nabakooba,Uganda
7476,Rema Namakula,Uganda
7478,Juliana Kanyomozi,Uganda
7480,Allen Kagina,Uganda
7523,Template:Featured Article of the day/FAOD-06,Uganda
7532,Template:Featured Article of the day/FAOD-08,Uganda
7695,Idi Amin,Uganda; India
7698,Bazilio Olara-Okello,Uganda
7699,Paulo Muwanga,Uganda
7701,Yusuf Lule,Uganda
7743,Maria Kiwanuka,Uganda
7792,Caroline Kamya,Uganda
7795,Ruth Wanyana,Uganda
7796,Abu Kawenja,Uganda
7808,Buddu,Uganda
7815,Essomero lya Kibuli Sekendule,Uganda
7836,Shamim Malende,Uganda
7837,Persis Namuganza,Uganda
7842,Angelline Osegge,Uganda
7844,Barbara Nekesa Oundo,Uganda
7846,Edith Mary Bataringaya,Uganda
7847,Anita Among,Uganda
7849,Sarah Najjuma,Uganda
7850,Agnes Taaka,Uganda
7852,Dorcus Acen,Uganda
7856,Anna Ebaju Adeke,Uganda
7861,Janet Grace Akech Okori-Moe,Uganda
7862,Agnes Atim Apea,Uganda
7866,Ndamira Atwakire,Uganda
7867,Agnes Nandutu,Uganda
7868,Mary Paula Kebirungi Turyahikayo,Uganda
7870,Christine Tubo Nakwang,Uganda
7871,Emma Boona,Uganda
7872,Norah Bigirwa-Nyendwoha,Uganda
7873,Juliet Kyinyamatama Suubi,Uganda
7874,Kevin Ojinga Kaala,Uganda
7875,Maria Mutagamba,Uganda
7876,Winnie Nanyondo,Uganda
7880,Annet Katusiime Mugisha,Uganda
7884,Aisha Sekindi,Uganda
7887,Grace Akello,Uganda
7889,Hanifa Kawooya,Uganda
7893,Zomura Manezo,Uganda
7895,Agnes Acibu,Uganda
7897,Victorious Zawedde,Uganda
7898,Hanifa Nabukeera,Uganda
7918,Robinah Nabbanja,Uganda
7926,Beatrice Were,Uganda
7929,Abdu Katuntu,Uganda
7930,Sarah Achieng Opendi,Uganda
7931,Edward Rugumayo,Uganda
7932,Francis K. Butagira,Uganda
7935,James Wapakhabulo,Uganda
7936,Meddie Kaggwa,Uganda
7937,Ssekabaka Mutesa II,Uganda
7938,Frank Tumwebaze,Uganda
7939,Ow'ekitiibwa Edward Kiwanuka Ssekandi,Uganda
7940,Thomas Tayebwa,Uganda
7941,Rebecca Kadaga,Uganda
7942,Jacob Oulanyah,Uganda
7943,Monica Musenero,Uganda
7944,Diana Atwine,Uganda
7945,Aggrey Bagiire,Uganda
7946,Abed Bwanika,Uganda
7947,Moses Ali,Uganda
7949,Charles Bakkabulindi,Uganda
7951,Jeje Odongo,Uganda
7953,Michael Lulume Bayigga,Uganda
7957,David Bahati,Uganda
7959,Harriet Businge,Uganda
7960,Denis Obua,Uganda
7962,Justine Lumumba Kasule,Uganda
7963,Ebyafaayo bya Uganda,Uganda; India
7964,Henry Oryem Okello,Uganda
7966,National Resistance Movement,Uganda
7967,Jessica Alupo,Uganda
7968,Jim Muhwezi,Uganda
7969,Omulangirizi,Uganda
7970,Allan Ssewanyana,Uganda
7971,Muhammad Nsereko,Uganda
7972,Wilson Muruli Mukasa,Uganda
7973,Ibrahim Ssemujju Nganda,Uganda
7978,Nandala Mafabi,Uganda
7982,Sam Mangusho Cheptoris,Uganda
7983,Kahinda Otafiire,Uganda
7984,Katumba Wamala,Uganda
7986,Amama Mbabazi,Uganda
7987,Hilary Onek,Uganda
7988,Kiryowa Kiwanuka,Uganda
8002,Uganda National Cultural Centre,Uganda
8009,Mabira Forest,India
8068,John Chrysestom Muyingo,Uganda
8071,User:Solomon Suubi,Uganda
8079,Dorothy Nyakato,Uganda
8082,Sheila Nduhukire,Uganda
8083,Alice Alaso,Uganda
8085,Victoria Nalongo Namusisi,Uganda
8087,Baby Gloria,Uganda
8089,Alice Kaboyo,Uganda
8092,Mugisha Muhanga Margaret,Uganda
8098,Rose Mwebaza,Uganda
8100,Judith Adong,Uganda
8104,Jane Frances Kuka,Uganda
8107,Angella Katatumba,Uganda
8113,Ampaire Shakira,Uganda
8116,Babungi Josephine Bebona,Uganda
8119,Nvumetta Ruth Kavuma,Uganda
8121,Angella Emurwon,Uganda
8124,Kiiza Eron,Uganda
8125,Primah Kwagala,Uganda
8126,Eddy Yawe,Uganda
8127,Kayinga Muddu Yisito,Uganda
8128,Immaculate Akello,Uganda
8129,Aamito Lagum,Uganda
8130,Hilda Flavia Nakabuye,Uganda
8131,Franc Kamugyisha,Uganda
8164,Jessica Nabongo,Uganda
8165,Apollo Makubuya,Uganda
8168,Lawrence Mulindwa,Uganda
8181,Jennifer Ayoo,Uganda
8182,David Obua,Uganda
8183,Vinka (musician),Uganda
8195,Azawi,Uganda
8204,Flavia Nabagabe Kalule,Uganda
8205,Brenda Namukuta,Uganda
8219,John Blaq,Uganda
8224,Abraham Chepkirwok,Uganda
8225,Julius Achon,Uganda
8228,Daniel Kipkorir Chepyegon,Uganda
8231,Moses Ndiema Kipsiro,Uganda
8232,Hassan Wasswa,Uganda
8234,Jimmy Katumba,Uganda
8236,Annet Nandujja,Uganda
8237,Esther and Ezekiel,Uganda
8238,Hannz Tactiq,Uganda
8239,Ekisaawe ky'okuyimba mu Uganda,Uganda
8241,Angela Kalule,Uganda
8242,Giovanni Kiyingi,Uganda
8245,Cindy Sanyu,Uganda
8246,NBS Television (Uganda),Uganda
8250,Milton Obote,Uganda; India
8258,Alimansi Kadogo,Uganda
8261,Geofrey Kusuro,Uganda
8262,Felix Chemonges,Uganda
8267,Simon Ayeko,Uganda
8268,Okuyimba mu Uganda,Uganda
8269,Fred Rwigyema,Uganda
8270,Vampino,Uganda
8272,Jackie Akello,Uganda
8275,Ruth Kyalisima,Uganda
8276,Assani Bajope,Uganda
8278,Ekibiina kya Conservative Party (Uganda),Uganda
8282,Mukotani Rugyendo,Uganda
8283,Ruyonga,Uganda
8284,Sandra Suubi,Uganda
8288,Ali Kimera,Uganda
8289,Abu Mayanja,Uganda
8290,Kataleya ne Kandle,Uganda
8293,Desire Luzinda,Uganda
8294,Grace Ibingira,Uganda
8295,Mariam Ndagire,Uganda
8296,Kizza Besigye,Uganda
8299,Judith Babirye,Uganda
8304,Sylver Kyagulanyi,Uganda
8305,Radio Muhabura,Rwanda
8308,User:Emmanuel Ssekaggo,Uganda
8309,Ken Lukyamuzi,Uganda
8310,Ekisaawe kya Nakivubo,Uganda
8315,National Unity Platform,Uganda
8323,Ekisaawe ky'eggwanga ekya Mandela,Uganda
8325,Moses Golola,Uganda
8326,Charles Peter Mayiga,Uganda
8330,Wilson Bugembe,Uganda
8335,Ruhakana Ruganda,Uganda
8336,Philly Bongole Lutaaya,Uganda
8337,Apolo Nsibambi,Uganda
8338,Sophie Gombya,Uganda
8344,Paul Ssemogerere,Uganda
8346,Sandra Nankoma,Uganda
8347,Shafik Batambuze,Uganda
8349,Giosue Bellagambi,Uganda
8351,Rolling Stone (Uganda),Uganda
8355,Kintu Musoke,Uganda
8356,AK 47 Mayanja,Uganda
8358,GNL Zamba,Uganda
8368,John Ssebaana Kizito,Uganda
8371,Norbert Mao,Uganda
8374,Samuel Wako Wambuzi,Uganda
8376,Sheebah Karungi,Uganda
8377,Steven Kavuma,Uganda
8378,Bart Magunda Katureebe,Uganda
8379,Allan Toniks,Uganda
8380,Alfonse Owiny-Dollo,Uganda
8382,Goodlyfe Crew,Uganda
8383,Patrick Amuriat,Uganda
8386,John Babiiha,Uganda
8387,Eddy Kenzo,Uganda
8388,Aloysius Bugingo,Uganda
8399,Anne Kansiime,Uganda
8400,Savio Kabugo,Uganda
8401,Ettoffaali,Uganda
8403,Andrew Kayiira,Uganda
8404,Holy Keane Amooti,Uganda
8405,Aziz Azion,Uganda
8406,Iryn Namubiru,Uganda
8407,Sam Bagenda,Uganda
8408,Papa Cidy,Uganda
8414,Bebe Cool,Uganda
