page_id,interwiki_link
1,aa:
1,af:
1,als:
1,ar:
1,de:
1,en:
1,as:
1,ast:
1,ay:
1,az:
1,be:
1,bg:
1,bn:
1,bo:
1,bs:
1,cs:
1,co:
1,cy:
1,da:
1,el:
1,eo:
1,es:
1,et:
1,eu:
1,fa:
1,fi:
1,fr:
1,fy:
1,ga:
1,gl:
1,gn:
1,gu:
1,he:
1,hi:
1,hr:
1,hy:
1,ia:
1,id:
1,is:
1,it:
1,ja:
1,ka:
1,kk:
1,km:
1,kn:
1,ko:
1,ks:
1,ku:
1,ky:
1,la:
1,ln:
1,lo:
1,lt:
1,lv:
1,hu:
1,mi:
1,mk:
1,ml:
1,mn:
1,mr:
1,ms:
1,mt:
1,my:
1,na:
1,nah:
1,nds:
1,ne:
1,nl:
1,no:
1,oc:
1,om:
1,pa:
1,pl:
1,ps:
1,pt:
1,qu:
1,ro:
1,ru:
1,sa:
1,si:
1,sk:
1,sl:
1,sq:
1,sr:
1,sv:
1,sw:
1,ta:
1,te:
1,tg:
1,th:
1,tk:
1,tl:
1,tr:
1,tt:
1,ug:
1,uk:
1,ur:
1,uz:
1,vi:
1,vo:
1,xh:
1,yo:
1,za:
1,zh:
1,zu:
918,en:User talk:Richie
918,de:Benutzer Diskussion:Richie
918,en:Computer science
918,en:Geology
918,"en:Gonville and Caius College, Cambridge"
918,en:University of Cambridge
918,ast:User:Richie
918,ca:Usuari:Richie
918,de:Benutzer:Richie
918,en:User:Richie
918,eo:Vikipediisto:Richie
918,es:Usuario:Richie
918,et:Kasutaja:Richie
918,fi:Käyttäjä:Richie
918,fr:Utilisateur:RichieFR
918,gl:User:Richie
918,hu:User:RichieHU
918,ia:Usator:Richie
918,it:Utente:Richie
918,ja:利用者:Richie
918,nl:Gebruiker:Richie
918,no:Bruker:Richie
918,pl:Wikipedysta:Richie
918,pt:Usuário:Richie
918,ro:Utilizator:Richie
918,ru:Участник:Richie
918,sv:Användare:Richie
1376,fr:Utilisateur:Korg
1376,en:User:Korg
1400,ja:Wikipedia:毎月の多言語の統計
1400,ja:Wikipedia:毎月の多言語の統計 - 新しい記事
1400,ja:User:Diagraph01
1400,ja:User talk:Diagraph01
1403,en:User:Sj
1479,es:Usuario Discusión:Taichi
1479,es:Usuario:Taichi
1483,de:Benutzer:Gangleri
1483,en:User:Gangleri
1483,eo:Vikipediisto:Gangleri
1483,is:Notandi:Gangleri
1483,mi:User:Gangleri
1483,ro:Utilizator:Gangleri
1483,yi:באַניצער:Gangleri
1484,en:User:koavf
1485,pl:User:Pietras1988
1548,en:English language
1549,en:User:Dcljr
1551,en:Bible
1552,en:Jesus
1553,en:United States
1554,ja:利用者‐会話:Diagraph01
1555,aa:User:HenryLi
1555,ab:User:HenryLi
1555,af:User:HenryLi
1555,ak:User:HenryLi
1555,als:User:HenryLi
1555,am:User:HenryLi
1555,an:User:HenryLi
1555,ang:User:HenryLi
1555,ar:User:HenryLi
1555,arc:User:HenryLi
1555,as:User:HenryLi
1555,ast:User:HenryLi
1555,av:User:HenryLi
1555,ay:User:HenryLi
1555,az:User:HenryLi
1555,ba:User:HenryLi
1555,be:User:HenryLi
1555,bg:User:HenryLi
1555,bh:User:HenryLi
1555,bi:User:HenryLi
1555,bm:User:HenryLi
1555,bn:User:HenryLi
1555,bo:User:HenryLi
1555,br:User:HenryLi
1555,bs:User:HenryLi
1555,bug:User:HenryLi
1555,ca:User:HenryLi
1555,ce:User:HenryLi
1555,ceb:User:HenryLi
1555,ch:User:HenryLi
1555,cho:User:HenryLi
1555,chr:User:HenryLi
1555,chy:User:HenryLi
1555,co:User:HenryLi
1555,cr:User:HenryLi
1555,cs:User:HenryLi
1555,csb:User:HenryLi
1555,cv:User:HenryLi
1555,cy:User:HenryLi
1555,da:User:HenryLi
1555,de:User:HenryLi
1555,dv:User:HenryLi
1555,dz:User:HenryLi
1555,ee:User:HenryLi
1555,el:User:HenryLi
1555,en:User:HenryLi
1555,eo:User:HenryLi
1555,es:User:HenryLi
1555,et:User:HenryLi
1555,eu:User:HenryLi
1555,fa:User:HenryLi
1555,ff:User:HenryLi
1555,fi:User:HenryLi
1555,fj:User:HenryLi
1555,fo:User:HenryLi
1555,fr:User:HenryLi
1555,frp:User:HenryLi
1555,fur:User:HenryLi
1555,fy:User:HenryLi
1555,ga:User:HenryLi
1555,gd:User:HenryLi
1555,gl:User:HenryLi
1555,gn:User:HenryLi
1555,got:User:HenryLi
1555,gu:User:HenryLi
1555,gv:User:HenryLi
1555,ha:User:HenryLi
1555,haw:User:HenryLi
1555,he:User:HenryLi
1555,hi:User:HenryLi
1555,ho:User:HenryLi
1555,hr:User:HenryLi
1555,ht:User:HenryLi
1555,hu:User:HenryLi
1555,hy:User:HenryLi
1555,hz:User:HenryLi
1555,ia:User:HenryLi
1555,id:User:HenryLi
1555,ie:User:HenryLi
1555,ig:User:HenryLi
1555,ii:User:HenryLi
1555,ik:User:HenryLi
1555,ilo:User:HenryLi
1555,io:User:HenryLi
1555,is:User:HenryLi
1555,it:User:HenryLi
1555,iu:User:HenryLi
1555,ja:User:HenryLi
1555,jbo:User:HenryLi
1555,jv:User:HenryLi
1555,ka:User:HenryLi
1555,kg:User:HenryLi
1555,ki:User:HenryLi
1555,kj:User:HenryLi
1555,kk:User:HenryLi
1555,kl:User:HenryLi
1555,km:User:HenryLi
1555,kn:User:HenryLi
1555,ko:User:HenryLi
1555,kr:User:HenryLi
1555,ks:User:HenryLi
1555,ksh:User:HenryLi
1555,ku:User:HenryLi
1555,kv:User:HenryLi
1555,kw:User:HenryLi
1555,ky:User:HenryLi
1555,la:User:HenryLi
1555,lad:User:HenryLi
1555,lb:User:HenryLi
1555,lg:User:HenryLi
1555,li:User:HenryLi
1555,lij:User:HenryLi
1555,lmo:User:HenryLi
1555,ln:User:HenryLi
1555,lo:User:HenryLi
1555,lt:User:HenryLi
1555,lv:User:HenryLi
1555,mg:User:HenryLi
1555,mh:User:HenryLi
1555,mi:User:HenryLi
1555,mk:User:HenryLi
1555,ml:User:HenryLi
1555,mn:User:HenryLi
1555,mo:User:HenryLi
1555,mr:User:HenryLi
1555,ms:User:HenryLi
1555,mt:User:HenryLi
1555,mus:User:HenryLi
1555,my:User:HenryLi
1555,na:User:HenryLi
1555,nah:User:HenryLi
1555,nap:User:HenryLi
1555,nb:User:HenryLi
1555,nds:User:HenryLi
1555,ne:User:HenryLi
1555,ng:User:HenryLi
1555,nl:User:HenryLi
1555,nn:User:HenryLi
1555,no:User:HenryLi
1555,nrm:User:HenryLi
1555,nv:User:HenryLi
1555,ny:User:HenryLi
1555,oc:User:HenryLi
1555,om:User:HenryLi
1555,or:User:HenryLi
1555,os:User:HenryLi
1555,pa:User:HenryLi
1555,pam:User:HenryLi
1555,pap:User:HenryLi
1555,pdc:User:HenryLi
1555,pi:User:HenryLi
1555,pih:User:HenryLi
1555,pl:User:HenryLi
1555,pms:User:HenryLi
1555,ps:User:HenryLi
1555,pt:User:HenryLi
1555,qu:User:HenryLi
1555,rm:User:HenryLi
1555,rmy:User:HenryLi
1555,rn:User:HenryLi
1555,ro:User:HenryLi
1555,ru:User:HenryLi
1555,rw:User:HenryLi
1555,sa:User:HenryLi
1555,sc:User:HenryLi
1555,scn:User:HenryLi
1555,sco:User:HenryLi
1555,sd:User:HenryLi
1555,se:User:HenryLi
1555,sg:User:HenryLi
1555,sh:User:HenryLi
1555,si:User:HenryLi
1555,sk:User:HenryLi
1555,sl:User:HenryLi
1555,sm:User:HenryLi
1555,sn:User:HenryLi
1555,so:User:HenryLi
1555,sq:User:HenryLi
1555,sr:User:HenryLi
1555,ss:User:HenryLi
1555,st:User:HenryLi
1555,su:User:HenryLi
1555,sv:User:HenryLi
1555,sw:User:HenryLi
1555,ta:User:HenryLi
1555,te:User:HenryLi
1555,tet:User:HenryLi
1555,tg:User:HenryLi
1555,th:User:HenryLi
1555,ti:User:HenryLi
1555,tk:User:HenryLi
1555,tl:User:HenryLi
1555,tn:User:HenryLi
1555,to:User:HenryLi
1555,tpi:User:HenryLi
1555,tr:User:HenryLi
1555,ts:User:HenryLi
1555,tt:User:HenryLi
1555,tum:User:HenryLi
1555,tw:User:HenryLi
1555,ty:User:HenryLi
1555,udm:User:HenryLi
1555,ug:User:HenryLi
1555,uk:User:HenryLi
1555,ur:User:HenryLi
1555,uz:User:HenryLi
1555,ve:User:HenryLi
1555,vec:User:HenryLi
1555,vi:User:HenryLi
1555,vls:User:HenryLi
1555,vo:User:HenryLi
1555,wa:User:HenryLi
1555,war:User:HenryLi
1555,wo:User:HenryLi
1555,xal:User:HenryLi
1555,xh:User:HenryLi
1555,yi:User:HenryLi
1555,yo:User:HenryLi
1555,za:User:HenryLi
1555,zh:User:HenryLi
1555,zu:User:HenryLi
1669,en:user:k1234567890y
1669,zh:user:k1234567890y
1781,en:User talk:Mark Dingemanse
1782,pt:User:Xandi
1782,af:Gebruiker:Xandi
1782,als:Benutzer:Xandi
1782,am:User:Xandi
1782,an:Usuario:Xandi
1782,ang:User:Xandi
1782,ar:مستخدم:Xandi
1782,arc:User:Xandi
1782,as:User:Xandi
1782,ast:Usuariu:Xandi
1782,ay:Utilisateur:Xandi
1782,av:Участник:Xandi
1782,az:İstifadəçi:Xandi
1782,ba:Ҡатнашыусы:Xandi
1782,be:Удзельнік:Xandi
1782,bg:Потребител:Xandi
1782,bm:Utilisateur:Xandi
1782,bn:ব্যবহারকারী:Xandi
1782,bo:User:Xandi
1782,br:Implijer:Xandi
1782,bs:User:Xandi
1782,ca:Usuari:Xandi
1782,ch:User:Xandi
1782,chr:User:Xandi
1782,co:User:Xandi
1782,ceb:User:Xandi
1782,cs:Wikipedista:Xandi
1782,csb:Brëkòwnik:Xandi
1782,cy:Defnyddiwr:Xandi
1782,cv:Хутшăнакан:Xandi
1782,da:Bruger:Xandi
1782,dv:User:Xandi
1782,dz:User:Xandi
1782,el:Χρήστης:Xandi
1782,en:User:Xandi
1782,eo:Vikipediisto:Xandi
1782,es:Usuario:Xandi
1782,et:Kasutaja:Xandi
1782,eu:user:Xandi
1782,fa:کاربر:Xandi
1782,ff:User:Xandi
1782,fi:Käyttäjä:Xandi
1782,fj:User:Xandi
1782,fo:Brúkari:Xandi
1782,fr:Utilisateur:Xandi
1782,frp:User:Xandi
1782,fur:Utent:Xandi
1782,fy:Meidogger:Xandi
1782,ga:Úsáideoir:Xandi
1782,gd:User:Xandi
1782,gl:User:Xandi
1782,got:User:Xandi
1782,gu:User:Xandi
1782,haw:User:Xandi
1782,he:משתמש:Xandi
1782,hi:सदस्य:Xandi
1782,hr:Suradnik:Xandi
1782,hu:User:Xandi
1782,ia:Usator:Xandi
1782,id:user:Xandi
1782,ig:User:Xandi
1782,ii:User:Xandi
1782,ilo:User:Xandi
1782,io:User:Xandi
1782,is:User:Xandi
1782,it:Utente:Xandi
1782,iu:User:Xandi
1782,ja:利用者:Xandi
1782,jv:Panganggo:Xandi
1782,ka:მომხმარებელი:Xandi
1782,kg:User:Xandi
1782,ki:User:Xandi
1782,kk:User:Xandi
1782,km:User:Xandi
1782,kn:ಸದಸ್ಯ:Xandi
1782,kr:User:Xandi
1782,ks:User:Xandi
1782,ksh:Medmaacher:Xandi
1782,ku:Bikarhêner:Xandi
1782,kv:Участник:Xandi
1782,kw:User:Xandi
1782,la:Usor:Xandi
1782,lad:User:Xandi
1782,lb:user:Xandi
1782,li:Gebroeker:Xandi
1782,lij:User:Xandi
1782,lmo:User:Xandi
1782,lo:User:Xandi
1782,lt:Naudotojas:Xandi
1782,lv:Lietotājs:Xandi
1782,mi:user:Xandi
1782,mk:Корисник:Xandi
1782,ml:User:Xandi
1782,nn:User:Xandi
1782,mo:User:Xandi
1782,mr:User:Xandi
1782,ms:User:Xandi
1782,mt:User:Xandi
1782,nah:Usuario:Xandi
1782,nap:User:Xandi
1782,nds:Bruker:Xandi
1782,nl:Gebruiker:Xandi
1782,no:Bruker:Xandi
1782,nrm:User:Xandi
1782,nv:User:Xandi
1782,oc:User:Xandi
1782,or:User:Xandi
1782,os:Архайæг:Xandi
1782,pa:ਮੈਂਬਰ:Xandi
1782,pam:User:Xandi
1782,pap:User:Xandi
1782,pdc:User:Xandi
1782,pl:Wikipedysta:Xandi
1782,pms:Ciaciarade:Xandi
1782,ps:User:Xandi
1782,qu:Usuario:Xandi
1782,rm:User:Xandi
1782,rn:User:Xandi
1782,ro:Utilizator:Xandi
1782,ru:Участник:Xandi
1782,sa:User:Xandi
1782,sc:Utente:Xandi
1782,scn:User:Xandi
1782,sco:User:Xandi
1782,sd:User:Xandi
1782,se:User:Xandi
1782,sh:User:Xandi
