page_id,title,ns,section_count,image_count
1,Omuko ogusooka,0,1,0
2,User:Davidcannon,2,0,0
564,MediaWiki:Qbspecialpages,8,0,0
583,MediaWiki:Recentchanges,8,0,0
587,MediaWiki:Recentchangestext,8,0,0
692,MediaWiki:Sitesupport,8,0,0
918,User:Richie,2,0,0
919,User:RCBot~lgwiki,2,0,0
920,User:Btw~lgwiki,2,0,0
1348,User talk:Kr~lgwiki,3,0,0
1376,User:Korg,2,0,0
1399,User:Jvano~lgwiki,2,0,0
1400,User:Diagraph01,2,0,0
1401,Talk:Omuko ogusooka,1,0,0
1403,User:Sj,2,0,0
1404,User:Korg/monobook.js,2,0,0
1445,User:Incelemeelemani,2,5,0
1466,User:Chamdarae,2,0,0
1479,User:Taichi,2,0,0
1482,User talk:Gangleri,3,0,0
1483,User:Gangleri,2,1,1
1484,User:Koavf,2,0,0
1485,User talk:Zfr,3,0,0
1545,Template:Delete,10,0,0
1546,Category:Candidates for speedy deletion,14,0,0
1547,Category:Wikipedia,14,0,0
1548,User talk:Dcljr,3,0,0
1549,User:Dcljr,2,0,0
1550,User:Proofreader,2,0,0
1551,Bayibuli (Ekitabo Ekitukuvu),0,0,0
1552,Jesu Kristo,0,0,1
1553,Amerika,0,0,2
1554,User talk:Diagraph01,3,0,0
1555,User:HenryLi,2,0,0
1661,User:Tomáš Novotný~lgwiki,2,0,0
1663,User talk:Proofreader,3,0,0
1669,User:K1234567890y,2,0,1
1676,User:Gondaluu,2,0,0
1758,Kampala,0,0,0
1760,User:Jklin~lgwiki,2,0,0
1764,User talk:Nakasaga,3,0,0
1765,Main Page,0,0,0
1766,Talk:Main Page,1,0,0
1774,User talk:Bbaale,3,1,1
1775,User:Jose77,2,0,1
1781,User talk:M. Dingemanse,3,0,0
1782,User:Xandi,2,0,0
1783,User:Malangali,2,0,0
1784,User talk:Malangali,3,1,0
1785,User:Ice201,2,4,0
1800,Template:Babel-3,10,0,0
1801,Template:Babel-2,10,0,0
1803,Template:User Iceland,10,0,1
1809,Template:User icelandair,10,0,1
1815,Template:User de-3,10,0,0
1818,Template:User ru-2,10,0,0
1820,Template:User nl-2,10,0,0
1823,Isilandi,0,0,0
1824,Template:Infobox Country,10,0,3
1825,Template:Esoteric,10,0,1
1826,Template:Stub,10,0,0
1827,Category:Stub,14,0,0
1828,Category:Ensi,14,0,0
1829,Category:Capitals of the World,14,0,0
1830,Iceland,0,0,0
1831,Aisland,0,0,0
1832,Ísland,0,0,0
1833,Lýðveldið ísland,0,0,0
1836,Girimane,0,0,0
1837,Denmarki,0,0,0
1838,Swiidi,0,0,0
1839,Germany,0,0,0
1840,Deutschland,0,0,0
1841,Denmark,0,0,0
1842,Sweden,0,0,0
1846,User:Andre Engels,2,0,0
1847,User:Robbot,2,0,0
1857,MediaWiki:Editinguser,8,0,0
1906,User:Walter,2,1,2
1907,User talk:Spacebirdy,3,0,0
1908,Wikipedia:Administrators,4,1,0
1909,User talk:Ice201,3,0,0
1910,Olupapula Olusooka,0,0,0
1914,User:Ev,2,0,0
1918,User:TXiKiBoT,2,0,0
1920,User:Kizito,2,4,0
1921,Category:User lg,14,0,0
1922,Kkanisa ya Yeso Eyannamaddala,0,0,0
1923,User talk:Kizito,3,0,1
1925,Template:Babel,10,3,0
1926,Template:User en,10,1,0
1927,Template:User lg-4,10,0,0
1928,Template:User zh-4,10,0,0
1929,User:JAnDbot,2,0,0
1930,User talk:Jose77,3,0,0
1934,Category:Language user templates,14,0,0
1935,User:Picaroon9288~lgwiki,2,0,0
1936,User talk:Picaroon9288~lgwiki,3,0,2
1939,User talk:Bastique,3,0,0
1940,Template:Done,10,0,0
1941,Template:Tick,10,0,1
1942,User:Kelovy,2,0,1
1943,Ekiwandiiko Eky'abantu Bonna Ekifa ku Ddembe Ly'obunto,0,31,0
1947,User:ReyBrujo,2,1,0
1948,User:ReyBrujo/Dumps,2,0,0
1949,User:ReyBrujo/Dumps/20070213,2,6,0
1950,User:ReyBrujo/Styles/Header,2,0,0
1951,User:ReyBrujo/Styles/Footer,2,0,0
1952,Hosjö,0,1,0
1953,User talk:Angela,3,0,0
1968,MediaWiki:Loginpagetitle,8,0,0
1969,MediaWiki:Logouttitle,8,0,0
1975,User:Vargenau,2,0,0
1976,User talk:Vargenau,3,0,0
1977,User:Escarbot,2,0,0
1978,User talk:Escarbot,3,0,0
1982,MediaWiki:Accmailtext,8,0,0
1986,MediaWiki:Acct creation throttle hit,8,0,0
1988,MediaWiki:Addedwatch,8,0,0
1989,MediaWiki:Addedwatchtext,8,0,0
1992,MediaWiki:Booksources-go,8,0,0
1994,MediaWiki:Imgmultigotopre,8,0,0
1996,MediaWiki:Makebot-search,8,0,0
1999,MediaWiki:Imagelist user,8,0,0
2006,MediaWiki:Createarticle,8,0,0
2011,MediaWiki:Makebot-username,8,0,0
2016,MediaWiki:Remembermypassword,8,0,0
2021,MediaWiki:Fancycaptcha-createaccount,8,0,0
2022,MediaWiki:Prefs-help-email,8,0,0
2031,MediaWiki:Helppage,8,0,0
2042,MediaWiki:Allmessagesfilter,8,0,0
2043,MediaWiki:Allmessagestext,8,0,0
2044,User:GerardM,2,0,1
2048,Template:User nl,10,0,0
2050,Template:User lang,10,0,0
2053,Template:User en-3,10,0,0
2054,Template:User lang-3,10,0,0
2055,Template:User de-1,10,0,0
2056,Template:User lang-1,10,0,0
2058,MediaWiki:Categorytree-category,8,0,0
2061,MediaWiki:Currentrev,8,0,0
2065,MediaWiki:Logouttext,8,0,0
2074,MediaWiki:Editinginterface,8,0,0
2075,MediaWiki:Newarticletext,8,0,0
2076,MediaWiki:Anoneditwarning,8,0,0
2083,MediaWiki:History-feed-title,8,0,0
2084,MediaWiki:Revhistory,8,0,0
2090,MediaWiki:Allnotinnamespace,8,0,0
2094,MediaWiki:Allmessagesmodified,8,0,0
2095,MediaWiki:Blockip,8,0,0
2097,MediaWiki:Blocklink,8,0,0
2098,MediaWiki:Movearticle,8,0,0
2099,MediaWiki:Movepage,8,0,0
2102,MediaWiki:Logempty,8,0,0
2104,MediaWiki:Ipbreason,8,0,0
2106,MediaWiki:Movepagetext,8,0,0
2108,MediaWiki:Contributions,8,0,0
2112,MediaWiki:Already sysop,8,0,0
2113,MediaWiki:Alreadyloggedin,8,0,0
2114,MediaWiki:Alreadyrolled,8,0,0
2115,User:Mithridates,2,0,0
2117,User:ReyBrujo/Dumps/Archive,2,1,0
2118,User:ReyBrujo/Dumps/20070227,2,6,0
2120,User:ReyBrujo/Dumps/20070406,2,6,0
2124,User:ReyBrujo/Dumps/20070419,2,6,0
2125,User:VolkovBot,2,0,0
2126,User:ReyBrujo/Dumps/20070429,2,6,0
2129,MediaWiki:Historyempty,8,0,0
2131,MediaWiki:Imgmultipagenext,8,0,0
2132,MediaWiki:Imgmultipageprev,8,0,0
2133,MediaWiki:Import-logentry-upload-detail,8,0,0
2134,MediaWiki:Import-revision-count,8,0,0
2135,User talk:Purodha,3,0,0
2136,User:Purodha,2,0,0
2139,User:EDUCA33E,2,0,0
2144,MediaWiki:Categoriespagetext,8,0,0
2145,MediaWiki:Categorytree,8,0,0
2146,MediaWiki:Categorytree-header,8,0,0
2147,MediaWiki:Categorytree-go,8,0,0
2148,MediaWiki:Categorytree-mode-categories,8,0,0
2149,MediaWiki:Categorytree-mode-pages,8,0,0
2150,MediaWiki:Categorytree-mode-all,8,0,0
2162,MediaWiki:Uid,8,0,0
2166,MediaWiki:Tog-rememberpassword,8,0,0
2167,MediaWiki:Emailauthenticated,8,0,0
2168,MediaWiki:Tog-ccmeonemails,8,0,0
2170,MediaWiki:Resetprefs,8,0,0
2172,MediaWiki:Tog-fancysig,8,0,0
2175,MediaWiki:Changepassword,8,0,0
2176,MediaWiki:Clearyourcache,8,0,0
2177,User:Byrial,2,0,0
2178,User:Byrialbot,2,0,0
2180,User:Faullim,2,0,0
2187,User:Loveless,2,0,0
2188,User talk:Loveless,3,0,0
2189,User:BotMultichill,2,0,0
2190,User talk:Multichill,3,0,0
2191,User:Multichill,2,0,4
2192,User talk:BotMultichill,3,0,0
2193,User talk:PipepBot,3,0,0
2194,User:PipepBot,2,0,1
2195,User:Jorunn,2,0,0
2198,Wikipedia:Community Portal,4,1,0
2200,User:Siebrand,2,0,0
2201,User:SieBot,2,0,0
2202,User talk:SieBot,3,0,0
2203,Wikipedia:Nospam,4,1,0
2204,User:Drini,2,0,0
2211,User:Hégésippe Cormier,2,0,0
2212,User talk:Hégésippe Cormier,3,0,0
2213,User talk:Jorunn,3,0,0
2215,User:Scooter,2,0,0
2217,User talk:Pathoschild,3,0,0
2218,User:DerHexer,2,0,2
2219,User talk:AlleborgoBot,3,0,0
2220,User:AlleborgoBot,2,0,0
2221,User:Cbrown1023,2,0,0
2224,User:Az1568,2,0,0
2225,User talk:Az1568,3,0,0
2226,User:MF-Warburg,2,0,0
2227,User:Dungodung,2,0,0
2229,Breinigerberg,0,1,1
2231,User:Mike.lifeguard,2,0,0
2232,User talk:Mike.lifeguard,3,0,0
2233,User:Razorflame,2,0,0
2234,User:Alexsh,2,0,0
2235,User:Alexbot,2,0,0
2236,User talk:Alexbot,3,0,0
2237,Template:Bot,10,0,1
2238,User:MastiBot,2,0,0
2239,Category:Wikipedians by language,14,0,0
2240,User talk:Purbo T,3,0,1
2241,User:Purbo T,2,0,1
2242,Uetersen,0,1,2
2245,Wikipedia:Userbox/Christian,4,0,1
2246,Wikipedia:Userbox,4,0,0
2247,"User:Bantu,de Karik",2,0,0
2259,User talk:Alexsh,3,0,0
2260,User:Carkuni,2,0,0
2261,User:Kanesue,2,0,0
2262,User:Meno25,2,0,0
2263,User:MelancholieBot,2,0,1
2264,Wikipedia:Statistics,4,0,0
2266,Berlin,0,0,0
2267,Category:Girimane,14,0,0
2268,User:Brunoy Anastasiya Seryozhenko,2,0,0
2270,Finilandi,0,0,0
2272,Buganda,0,0,0
2273,Napooleon Bonapat,0,0,1
2274,Rwasha,0,0,0
2275,Swiiden,0,3,0
2276,Denimaaka,0,1,0
2277,Helsinki,0,0,0
2280,Yitale,0,0,3
2281,User:Nick1915,2,0,0
2282,User talk:Nick1915,3,0,0
2283,User:SpBot,2,0,0
2284,User talk:SpBot,3,0,0
2285,User:Junafani,2,0,0
2286,User:ZorroIII,2,0,0
2287,User:Caiaffa,2,0,0
2288,User:Darev,2,4,0
2290,User:StigBot,2,0,1
2291,User:YourEyesOnly,2,0,6
2292,User:Cuaxdon,2,0,0
2293,User:MenoBot,2,0,0
2294,User talk:MenoBot,3,0,0
2295,User:Pwjb,2,0,0
2297,Curitiba,0,2,4
2298,User:Law soma,2,0,0
2299,User:WikiDreamer,2,0,13
2300,User talk:WikiDreamer,3,0,0
2301,User:Lab-oratory,2,0,0
2302,User:WikiDreamer Bot,2,0,13
2303,User talk:WikiDreamer Bot,3,0,0
2305,User:MelancholieBot/info,2,0,1
2306,User:MelancholieBot/stat,2,0,0
2307,User:Melancholie/info,2,0,0
2308,User:Melancholie,2,0,0
2312,User:Marbot,2,0,0
2313,User talk:Marbot,3,0,0
2314,User:Ozi64,2,0,0
2315,User:Valhallasw-bot,2,0,0
2316,User:Kylu,2,0,0
2317,Category:Infobox templates,14,0,0
2318,Template:SIL,10,0,0
2319,Category:Bulaaya,14,0,0
2320,Category:Isilandi,14,0,0
2321,Republik kya Isilandi,0,0,0
