page_id,title,gender,date_of_birth
1553,Amerika,Unknown,
2273,Napooleon Bonapat,Unknown,
2643,Enkima,Unknown,
2784,2,Unknown,
2795,40 (ennamba),Unknown,
2892,25 (ennamba),Unknown,
2927,44,Unknown,
2997,Kenya,Female,
3032,Elysion,Unknown,
3075,Essiga lya Kagolo,Male,
3124,Jens Galschiøt,Unknown,
3126,Pillar of shame (Empagi yo Buswavu),Unknown,
3127,My Inner Beast,Unknown,
3129,Survival of the Fattest (okunyigiriza Kwa Nagwano),Unknown,
3131,The hunger march(Olukumba lwo muyala),Unknown,
3136,In the name of God (Mulinnya lya Katonda),Unknown,
3137,SevenMeters (Mitta Musanvu),Unknown,
3140,The Color Orange (Langi Ya Kakyungwa),Male,
3189,Gallery Galschiøt,Unknown,
3560,User:Mbazzivillage/endowooza y'omuntu,Unknown,
3561,Endowooza y'omuntu,Unknown,
3568,Enkoko,Unknown,
3584,Wikipedia,Unknown,
3587,Siriimu,Male,
3588,Vakisini ya Siriimu,Unknown,
3591,Seroconversion,Unknown,
3603,User talk:Joyce Nanjobe Kawooya,Unknown,
3608,Michael Ezra,Unknown,
3614,User talk:Kitakapeter,Unknown,
3629,Okwekulakulanya,Unknown,
3631,ENTOBAZI,Unknown,
3632,Okukola obulimiro obutono,Female,
3634,Okukuuma obutonde bw'ensi,Unknown,
3637,Ffene,Unknown,
3653,Tewekubagiza,Unknown,
3660,User:Kikanja john baptist,Unknown,
3666,User:Kikanja john baptist/sandbox,Unknown,
3693,Sung Jae-gi,Male,
3694,Adolf Hitler,Female,Ogwokuna 20 1889
3695,Empisa,Unknown,
3733,ENKOKO:EBIKA,Unknown,
3736,User:Kiriggwajjo Anatole Jesero,Male,
3769,OMUGASO,Unknown,
3770,OKUBUULILILA,Unknown,
3778,Tanzania,Unknown,
3783,User:Kibalama george william/sandbox (3),Male,
3784,Entegeka y'ezade,Male,
3826,OKUMEZESA ENDOKWA Z'EMITI N'OKUZIRABIRIRA,Unknown,
3851,Matoke,Unknown,
3969,EBYAFAAYO BYA MBAZZI,Male,
4039,EBYEWUNYISA KU MUSAJJA MUKASA MIKE,Male,
4042,Boda-boda,Unknown,
4044,OKUKUUMA OBUTONDE BWENSI NGA TUKEKKEREZAEBIFUMBISIBWA,Unknown,
4046,Silimu,Unknown,
4049,Omulimi Owedda n'owaleero,Unknown,
4054,EMIPIIRA EMIKADDE BAKOLAMU EBINTU BINGI,Unknown,
4059,OMWENGE NA KABI KAGWO,Male,
4064,"Enkwa Ebivu, n’ebiwuka ebirala by’ewale awamu n’endwadde zebireeta ku Ddundiro lyo",Unknown,
4068,"ENTOBAZI N’EMIRIMU, N’EMIGASO GYAAZO",Unknown,
4078,Okukongola kasooli,Unknown,
4097,User:Kyaligonza JohnBosco,Male,
4099,Kalandalugo,Unknown,
4101,User talk:Kyaligonza JohnBosco,Unknown,
4111,Olutobazi nabajjuzi,Unknown,
4115,Nzikiriza ey'eNicea,Unknown,
4116,Nzikiriza y'Abatume,Unknown,
4127,Kizito omuto omujulizi omutuukirivu,Male,
4128,Omuwala enteeka,Unknown,
4147,Afirika,Female,
4182,OMUNTU OMUBAKA,Male,
4221,Omubi atavaawo,Unknown,
4222,Ekitibwa kya Daudi Ccwa,Unknown,
4237,Zibugo ne Nkubansi,Unknown,
4243,Ekitibwa kya Dokita M.B.Nsimbi,Unknown,
4250,Ekigere,Male,
4267,Ekajolyanjovu,Unknown,
4297,Embalabe,Unknown,
4352,ENKOZESA YOMULURUUZA,Unknown,
4375,Amabwa wakati wenjala,Unknown,
4390,Enkaka,Unknown,
4397,User:Wasswa Benedict/sandbox,Unknown,
4400,User:Ssenyondo/sandbox,Unknown,
4403,Sekamu,Unknown,
4451,Ssebwana,Unknown,
4517,Buvuma (disitulikit),Female,
4537,Wakiso (disitulikit),Unknown,
4542,Bukedea (disitulikit),Female,
4548,Iganga (disitulikit),Female,
4552,Kamuli (disitulikit),Female,
4558,Luuka (disitulikit),Female,
4559,Manafwa (disitulikit),Unknown,
4560,Mayuge (disitulikit),Female,
4562,Namayingo (disitulikit),Male,
4566,Serere (disitulikit),Female,
4568,Soroti (disitulikit),Female,
4573,Agago (disitulikit),Female,
4581,Gulu (disitulikit),Unknown,
4583,Kitgum (disitulikit),Unknown,
4594,Nebbi (disitulikit),Male,
4596,Otuke (disitulikit),Female,
4598,Pader District,Unknown,
4615,Kiruhura (disitulikit),Unknown,
5128,User:Nalumansi tinah,Unknown,
5156,Apac,Unknown,
5491,Geoffrey Oryema,Unknown,
5497,Embeera y’emigga n’ebiibira,Unknown,
5499,Emigaso gy’entobazi,Unknown,
5541,Kaberamaido,Female,
5563,Kanungu,Female,
5565,Kamwenge,Female,
5595,Yumbe,Female,
5609,Sironko,Female,
5626,Rukungiri,Female,
5645,Bobi Wine,Female,Ogwokubiri 12 1982
5652,Kapchorwa,Unknown,
5688,Rwanda,Male,
5700,Zambia,Male,
5721,Kayunga,Female,
5732,Kiboga,Female,
5756,Kireka,Unknown,
5829,User talk:ANAKYAGA,Unknown,
5831,Okucaafuwaza Amazzi,Unknown,
5833,Ennima ey'obutonde,Unknown,
5835,Ttiimu y’omupiira eya Kampala City Council Football Club,Unknown,
5852,Okuva (Motion),Male,
5853,Obuwangaaliro( Environment),Male,
5860,Entunnunsi,Unknown,
5862,ENNYANGUYIRIZI(MACHINE),Unknown,
5866,Essomabuzaale,Unknown,
5869,Empalirizo(Force),Unknown,
5901,Endwadde z'Ekikaba,Female,
5902,Omwenkanonkano,Female,
5907,Okuyimbulukuka,Unknown,
5908,Okutya,Unknown,
5909,Ebigendererwa by’ensi eby’enkulakulana,Male,
5911,Enkulaakulana eyannamaddala,Unknown,
5915,Ebiramu eby’enjawulo,Unknown,
5916,Okukendeeza ku katyabaga k’ebigwawo nnamuzisa,Unknown,
5929,Engeri ebintu ebiramu gye byebeezaawo,Unknown,
5932,Obuwangwa,Unknown,
5934,Obulimi obuyimirizikawo,Unknown,
5944,Ensibuko y'Ebikula(the origin of species),Unknown,
5971,Ebitontome bya Charles Muwanga ebya Sayansi,Unknown,
5972,Amasoboza mu Mubiri (Energy in the body),Unknown,
5984,Ekikuubagano(Fiction),Unknown,
5985,Ekikuubagano(Friction),Unknown,
5990,Akaziba ka ayidologyeni (hydrogen atom),Unknown,
6013,Obuziba(atoms),Unknown,
6016,Obusannyalazo(Electrons),Unknown,
6019,Molekyo,Unknown,
6028,Ekizibu ky'Okwerabira,Unknown,
6030,Ennetoloola ya Kaboni (the Carbon Cycle),Unknown,
6034,Ggaasi ezitega ebbugumu (Greenhouse gases),Unknown,
6038,Namunigina z'entababutonde(Ecological units),Unknown,
6042,Ebiwangaaliro (Habitats),Unknown,
6047,Entababimera(Biomes),Female,
6050,Tekinologiya w'Abaganda Abedda(Technology used by the ancient Baganda),Unknown,
6051,Ekitondekamaanyi (Engine),Unknown,
6066,Ensengekera z'entabaganyi(Social systems),Unknown,
6069,Ebyobufuna bya Buganda eyedda(the Political economy of precolonial Uganda),Female,
6072,Namba za Kibazo(cardinal numbers),Unknown,
6074,Namba eya Ndagalinnya(nominal number),Unknown,
6076,Namba ez'Obutonde(natural numbers),Unknown,
6099,"Bawala ba Maria, Bannabikira bwanda",Unknown,
6123,Omugeranyo=Ekigero,Unknown,
6129,Omusujja gw'ensiri,Unknown,
6143,EMPEEKERA NNAKONGEZAKIKOLWA,Female,
6144,Ensaalu,Unknown,
6146,Okwefumiitiriza(Critical thinking),Male,
6147,Empisa ez'Obuntu(Morals),Unknown,
6148,Okutendeka Obukulembeze mu Baana baffe (Inculcating Leareship in Children),Female,
6149,Okwekuuma,Male,
6150,OKUBULWA OTULO,Unknown,
6158,Omuntu kalimagezi(Intelligent man),Male,
6160,Engerekera,Unknown,
6161,Muntunsolo ya byanfuna(homo economicus),Male,
6164,Embeera z'Obuntu(Human emotions),Female,
6173,Okwekubagiza(Self pity),Unknown,
6174,Okwennyika (Depression),Male,
6175,Okwegulumiza(Pride),Unknown,
6188,Okufuga embeera z'Obuntu(Controling human emotions),Female,
6190,Essikirizo (Gravity),Unknown,
6196,Ensuubo(levers),Unknown,
6215,Ttino (Tin),Unknown,
6216,Zzaabu,Unknown,
6218,Ekikulembero (Lead),Unknown,
6221,Emigattiko( Mixtures),Unknown,
6233,Ebitontome bya Charles Muwanga Ebya Sayansi(Charles Muwanga's Poems of Science),Unknown,
6242,Tempulikya ey'ekitondowalo(Condensation Temperature),Unknown,
6253,Ekitondowalo = Okutondowala (Condensation),Unknown,
6259,Ekibulungulo,Unknown,
6283,Kalooli Ddawano (Charles Darwin ),Male,
6284,Payisoggolaasi,Unknown,
6285,Yisaaka Netoni,Unknown,
6286,Alubbaati Ansitayini,Unknown,
6344,Amasoboza ag'amasannyalaze,Unknown,
6345,Nabbirye w'Ekitangaala,Unknown,
6347,Kkala z'Ekitangaala,Unknown,
6357,Bassekalowooleza ne Bannakalowooleza ba Buganda abedda,Male,
6367,Obulamu obusirikitu,Unknown,
6370,Bakitiiriya,Unknown,
6376,Ebyobugagga obw'ensibo,Male,
6387,Enkola z'Omulengera (the Mental processes),Female,
6399,Ebikolwa ebigerekere(Instinctive acts),Unknown,
6400,Bakakensa ba Buganda abedda (the Scientists and Philosophers of ancient Buganda,Unknown,
6401,Essomabutaffaali(Cell Biology),Unknown,
6404,Ebyobuwangwa (Culture),Unknown,
6430,Ebyetaago by'Obulamu eby'Omubiri(the Physical needs of Life),Male,
6431,Enketteso z'Omubiri (the Body senses),Unknown,
6432,Ebyetaago by'Obulamu eby'Omwoyo (the Spritual needs of Life),Unknown,
6433,Emitendera gy'enkula n'enkulaakulana y'omwana(the stages of child growth and development),Unknown,
6436,Okulambulula ensonga (Deductive reasoning),Unknown,
6440,Okwetegeera (Selfconsciousness ),Unknown,
6441,Okumanya okw'embagirawo(Intuition),Female,
6483,Okuvaamu olubito,Female,
6535,Okuzaala omwana omufu,Female,
6536,Kookolo w’omu lubuto,Unknown,
6538,Kookolo,Unknown,
6539,Obulemu ku bwongo,Female,
6544,Kookolo w’obusajja,Unknown,
6551,Entababaganya n'Entababuvobwawamu(Society and Community),Unknown,
6558,Enkola z'Obukulembeze ennungi(Pro-people methods of work),Unknown,
6559,Ebyenjigiriza mu Buganda ng'abafuzi b'amatwale tebannajja(the education system in Precolonial Buganda),Male,
6560,Ebyobufuna bya Buganda Eyedda (the Political economy of precolonial Buganda),Female,
6561,Okudibaga okwakolebwa abafuzi b'amatwale(the distortions of colonialism),Unknown,
6567,Sikimanyinkitye(Superstitution),Unknown,
6569,Ettalo(Septic arthritis),Unknown,
6611,Obulwadde bw'Okulumizibwa amagulu,Unknown,
6634,Ebigenge,Unknown,
6639,Obulemu ku maaso,Unknown,
6640,Obulemu mu kuwulira,Unknown,
6646,Obulwadde bw’ensigo (Kidney stone disease),Unknown,
6650,Ebyenfuna mu Buganda Eyedda,Unknown,
6651,Bulungibwansi,Male,
6652,Okutta omukago,Female,
6658,Ekizzaŋŋanda,Unknown,
6713,Talk:Luganda,Female,
6749,Okusoma,Unknown,
6825,Omulembe Omutebi(the Mutebi era),Unknown,
6830,Obuyivu n'obuyivuwavu(being learned and being educated/intellectual),Unknown,
6843,Enkulaakulana y'Entabaganya(the Development of Society),Unknown,
6968,Omuntu omukujjukujju(Homo Habiris),Unknown,
6970,Omuntu omusenguse,Unknown,
6975,Nelson Mandela,Unknown,
7139,Ensi,Unknown,
7162,Sembuya Christopher Columbus,Female,1937
7303,Mowzey Radio,Unknown,
7305,Ssekalowooleza Kiwanuka,Unknown,
7306,Ssekalowooleza Mukasa,Unknown,
7308,Ssekalowooleza Kayikuuzi,Unknown,
7309,Ssekalowooleza Ggulu,Unknown,
7310,Nakalowooleza Nakayima,Female,
7311,Nakalowooleza Kitinda,Female,
7312,Ssekalowooleza Muwanga,Unknown,
7313,Ssekalowooleza Kawumpuli,Unknown,
7314,Ssekalowooleza Kintu,Unknown,
7315,Ssekawooleza Ddungu,Unknown,
7316,Ssekalowooleza Kibuuka Omumbaale,Unknown,
7317,Ssekalowooleza Matayo Kisuule Omubundu,Unknown,
7318,Ssekalowooleza Musoke,Unknown,
7319,Eddiini ya Buganda,Unknown,
7323,Donald Trump,Unknown,
7324,Vladimir Putin,Unknown,
7325,Yoweri Museveni,Female,Ogwomwenda 15 1944
7361,Balubaale(the Departed Thinkers/Wisepersons of Buganda),Unknown,
7390,User talk:Basaaya,Unknown,
7400,Ekigereeso ky'Okubwatuka Okunene(The Bigbang Theory),Unknown,
7401,Ekire Nnabire (The Nebular Cloud),Unknown,
7458,Kintu,Male,
7460,Ewakuumirwa Eggaali Y'omukka (Estacion) Bajo Hondo,Unknown,
7469,Barbara Kaija,Female,mu 1964
7470,Amelia Kyambadde,Female,
7472,Betty Nambooze,Unknown,
7473,Winnie Kiiza,Female,museenene 26 1972
7474,Judith Nabakooba,Female,
7475,Jennifer Musisi,Female,
7476,Rema Namakula,Female,April 24 1991
7477,Ingrid Turinawe,Female,
7478,Juliana Kanyomozi,Female,Ogwekuminoogumu 27 1980
7479,Specioza Kazibwe,Female,Ogw'omusanvu 1 1954
7480,Allen Kagina,Female,
7523,Template:Featured Article of the day/FAOD-06,Female,
7530,Template:Featured Article of the day/FAOD-05,Unknown,
7680,Usama Mukwaya,Unknown,
7688,John Ssenseko Kulubya,Male,
7695,Idi Amin,Female,mu 1925
7697,Tito Okello,Unknown,
7698,Bazilio Olara-Okello,Unknown,
7699,Paulo Muwanga,Unknown,mu 1924
7701,Yusuf Lule,Unknown,Ogwokuna 10 1912
7725,Peace Mutuuzo,Female,
7726,Esther Mayambala Kisaakye,Female,Ogwolubereberye 18 1960
7733,Okusumululwa okw'Omwoyo(Deliverance),Unknown,
7734,Ekyewuunyo eky'Obutonde (The Miracle in Nature),Unknown,
7735,Ensibuko y'emizimu n'emisambwa ogimanyi ?,Unknown,
7743,Maria Kiwanuka,Unknown,
7779,Kabaka,Unknown,
7792,Caroline Kamya,Female,1974
7795,Ruth Wanyana,Unknown,
7796,Abu Kawenja,Female,
7799,User:Ssenkungu ivan,Male,
7800,User:Mbabaali Ibrahim,Male,
7805,Ekkuumiro ly'ebisolo erya Rwenzori Mountains National Park,Unknown,
7807,Muteesa I of Buganda,Unknown,
7808,Buddu,Male,
7809,Ekkuumiro ly'ebisolo erya Bwindi,Female,
7810,Ssekabaka Daudi Cwa II,Female,Ntenvu 6 1915
7812,Bugema University,Unknown,
7813,Ekkuumiro ly'ebisolo erya Kidepo Valley,Unknown,
7814,Mulago National Specialised Hospital,Male,
7815,Essomero lya Kibuli Sekendule,Male,
7820,Ekkuumiro ly'ebisolo erya Lake Mburo,Unknown,
7821,Ekkuumiro ly'ebisoro erya Murchison Falls,Unknown,
7824,Ekkuumira ly'amazike erya Mgahinga,Unknown,
7825,Ssemaduuka za Quality,Unknown,
7826,Mikheil Saakashvili,Unknown,ogwomukaaga 1967
7835,Joyce Bagala,Female,
7836,Shamim Malende,Female,1986
7837,Persis Namuganza,Unknown,
7838,User:Alvinategyeka/Beti Kamya-Turwomwe,Female,
